iter	Passed	Remaining
399	43808	175234
400	43912	175104
401	44027	175016
402	44148	174950
403	44256	174833
404	44364	174718
405	44469	174593
406	44578	174478
407	44681	174343
408	44789	174230
409	44899	174123
410	45016	174042
411	45137	173976
412	45244	173857
413	45353	173746
414	45459	173621
415	45575	173537
416	45677	173400
417	45799	173338
418	45918	173264
419	46034	173176
420	46152	173098
421	46265	173001
422	46371	172879
423	46474	172746
424	46588	172651
425	46695	172532
426	46810	172443
427	46930	172371
428	47045	172279
429	47151	172158
430	47274	172097
431	47389	172007
432	47500	171900
433	47609	171788
434	47727	171708
435	47847	171636
436	47963	171550
437	48080	171464
438	48185	171337
439	48284	171189
440	48391	171071
441	48507	170984
442	48628	170911
443	48741	170816
444	48857	170727
445	48975	170644
446	49084	170534
447	49193	170419
448	49300	170300
449	49414	170205
450	49529	170113
451	49646	170027
452	49754	169912
453	49867	169814
454	49980	169714
455	50081	169573
456	50196	169480
457	50302	169357
458	50410	169242
459	50513	169110
460	50618	168985
461	50728	168873
462	50841	168777
463	50959	168694
464	51070	168587
465	51174	168459
466	51289	168364
467	51400	168260
468	51512	168157
469	51618	168034
470	51727	167922
471	51832	167797
472	51933	167659
473	52051	167575
474	52160	167461
475	52269	167350
476	52388	167269
477	52492	167141
478	52609	167054
479	52716	166934
480	52826	166825
481	52948	166754
482	53056	166639
483	53160	166510
484	53270	166401
485	53381	166296
486	53483	166162
487	53596	166061
488	53711	165968
489	53824	165867
490	53935	165760
491	54057	165687
492	54178	165611
493	54293	165519
494	54399	165395
495	54502	165266
496	54612	165156
497	54730	165070
498	54856	165010
499	54960	164881
500	55064	164754
501	55180	164661
502	55297	164573
503	55409	164470
504	55524	164374
505	55626	164242
506	55728	164109
507	55842	164009
508	55955	163908
509	56067	163806
510	56181	163705
511	56296	163611
512	56411	163516
513	56523	163412
514	56631	163297
515	56749	163211
516	56858	163096
517	56965	162977
518	57081	162884
519	57197	162793
520	57305	162677
521	57407	162544
522	57513	162424
523	57628	162326
524	57738	162217
525	57847	162106
526	57958	161998
527	58071	161895
528	58169	161752
529	58287	161665
530	58396	161553
531	58512	161459
532	58616	161332
533	58733	161243
534	58845	161137
535	58964	161051
536	59076	160947
537	59190	160848
538	59294	160723
539	59410	160629
540	59524	160528
541	59632	160413
542	59737	160289
543	59852	160192
544	59959	160076
545	60075	159981
546	60176	159846
547	60300	159773
548	60418	159684
549	60526	159568
550	60643	159477
551	60748	159355
552	60854	159234
553	60956	159102
554	61070	159003
555	61185	158905
556	61292	158788
557	61403	158680
558	61519	158587
559	61625	158465
560	61741	158371
561	61847	158250
562	61955	158134
563	62063	158019
564	62179	157924
565	62297	157834
566	62396	157696
567	62505	157585
568	62612	157465
569	62721	157352
570	62840	157266
571	62944	157141
572	63057	157037
573	63164	156919
574	63280	156826
575	63387	156708
576	63497	156597
577	63612	156499
578	63722	156390
579	63824	156259
580	63934	156150
581	64046	156044
582	64167	155960
583	64269	155830
584	64380	155723
585	64490	155614
586	64602	155507
587	64712	155397
588	64818	155278
589	64920	155149
590	65030	155038
591	65144	154937
592	65249	154815
593	65355	154696
594	65472	154603
595	65572	154469
596	65684	154364
597	65794	154254
598	65906	154148
599	66024	154057
600	66128	153933
601	66240	153828
602	66355	153729
603	66474	153639
604	66584	153529
605	66695	153420
606	66812	153327
607	66919	153210
608	67026	153094
609	67136	152983
610	67241	152861
611	67370	152795
612	67482	152689
613	67608	152613
614	67729	152530
615	67840	152420
616	67946	152301
617	68059	152198
618	68169	152087
619	68271	151958
620	68384	151855
621	68494	151744
622	68598	151621
623	68708	151510
624	68821	151407
625	68930	151295
626	69034	151170
627	69147	151067
628	69252	150945
629	69362	150834
630	69460	150698
631	69572	150593
632	69674	150465
633	69776	150339
634	69887	150231
635	70001	150129
636	70113	150023
637	70222	149909
638	70333	149801
639	70442	149690
640	70549	149572
641	70650	149444
642	70760	149335
643	70875	149235
644	70984	149123
645	71088	148999
646	71196	148885
647	71316	148795
648	71439	148713
649	71548	148600
650	71660	148495
651	71768	148379
652	71886	148285
653	71990	148163
654	72090	148033
655	72202	147926
656	72309	147809
657	72416	147693
658	72532	147597
659	72638	147478
660	72755	147381
661	72877	147296
662	72987	147186
663	73100	147082
664	73215	146981
665	73330	146880
666	73434	146758
667	73555	146670
668	73656	146542
669	73778	146455
670	73897	146362
671	74001	146241
672	74116	146141
673	74222	146021
674	74329	145905
675	74442	145801
676	74550	145687
677	74659	145574
678	74772	145469
679	74875	145345
680	74995	145255
681	75095	145126
682	75199	145004
683	75314	144903
684	75423	144790
685	75538	144689
686	75645	144574
687	75757	144468
688	75861	144345
689	75964	144222
690	76080	144124
691	76187	144007
692	76300	143902
693	76420	143811
694	76552	143742
695	76666	143639
696	76771	143520
697	76876	143400
698	76980	143278
